2025-08-15 09:49:07,508 | INFO | __main__:__init__:85 | AIBot initialized with models: IV Predictor, Price Predictor, Anomaly Detector
2025-08-15 09:54:59,369 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:55:00,391 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:55:00,391 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:55:00,391 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:55:00,391 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:55:00] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:55:37,368 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:55:38,647 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:55:38,647 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:55:38,647 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:55:38,647 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:55:38] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:56:37,377 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:56:38,763 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:56:38,764 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:56:38,764 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:56:38,764 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:56:38] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:56:47,304 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:56:48,668 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:56:48,668 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:56:48,668 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:56:48,668 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:56:48] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:56:48,674 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:56:49,687 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:56:49,687 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:56:49,687 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:56:49,688 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:56:49] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:56:59,361 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:57:00,542 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:57:00,542 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:57:00,542 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:57:00,542 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:57:00] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:57:09,362 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:57:10,619 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:57:10,619 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:57:10,619 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:57:10,620 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:57:10] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:57:19,354 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:57:20,447 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:57:20,447 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:57:20,447 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:57:20,447 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:57:20] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:57:29,354 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:57:30,396 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:57:30,396 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:57:30,396 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:57:30,397 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:57:30] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:57:39,361 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:57:39,925 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:57:39,925 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:57:39,926 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:57:39,926 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:57:39] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:57:49,361 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:57:49,970 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:57:49,970 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:57:49,970 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:57:49,970 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:57:49] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:58:20,037 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:58:20,508 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:58:20,508 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:58:20,508 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:58:37,400 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:58:38,526 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:58:38,526 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:58:38,526 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:58:38,526 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:58:38] "GET /api/status HTTP/1.1" 200 -
2025-08-15 09:59:37,355 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 09:59:38,087 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 09:59:38,087 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 09:59:38,088 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 09:59:38,088 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 09:59:38] "GET /api/status HTTP/1.1" 200 -
2025-08-15 10:00:37,363 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 10:00:38,127 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 10:00:38,127 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 10:00:38,127 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 10:00:38,127 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 10:00:38] "GET /api/status HTTP/1.1" 200 -
2025-08-15 10:01:37,374 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 10:01:38,595 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 10:01:38,595 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 10:01:38,595 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 10:01:38,595 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 10:01:38] "GET /api/status HTTP/1.1" 200 -
2025-08-15 10:02:37,366 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 10:02:37,927 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 10:02:37,927 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 10:02:37,927 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 10:02:37,928 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 10:02:37] "GET /api/status HTTP/1.1" 200 -
2025-08-15 10:03:20,509 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 10:03:21,147 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 10:03:21,147 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 10:03:21,147 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 10:03:37,372 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 10:03:38,135 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 10:03:38,135 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 10:03:38,136 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 10:03:38,136 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 10:03:38] "GET /api/status HTTP/1.1" 200 -
2025-08-15 10:04:37,358 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 10:04:37,989 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 10:04:37,989 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 10:04:37,989 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 10:04:37,989 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 10:04:37] "GET /api/status HTTP/1.1" 200 -
2025-08-15 10:05:37,359 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 10:05:37,917 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 10:05:37,917 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 10:05:37,917 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 10:05:37,917 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 10:05:37] "GET /api/status HTTP/1.1" 200 -
2025-08-15 10:06:37,378 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 10:06:38,445 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 10:06:38,445 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 10:06:38,446 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 10:06:38,446 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 10:06:38] "GET /api/status HTTP/1.1" 200 -
2025-08-15 10:07:37,357 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 10:07:38,515 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 10:07:38,515 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 10:07:38,515 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 10:07:38,515 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 10:07:38] "GET /api/status HTTP/1.1" 200 -
2025-08-15 10:08:21,147 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 10:08:22,214 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 10:08:22,214 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 10:08:22,214 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 10:08:37,356 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 10:08:37,963 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 10:08:37,963 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 10:08:37,963 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 10:08:37,963 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 10:08:37] "GET /api/status HTTP/1.1" 200 -
2025-08-15 10:09:16,870 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 10:09:17,447 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 10:09:17,447 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 10:09:17,448 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 10:09:17,448 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 10:09:17] "GET /api/status HTTP/1.1" 200 -
2025-08-15 10:09:19,357 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 10:09:19,961 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 10:09:19,961 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 10:09:19,962 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
2025-08-15 10:09:19,962 | INFO | werkzeug:_log:97 | 127.0.0.1 - - [15/Aug/2025 10:09:19] "GET /api/status HTTP/1.1" 200 -
2025-08-15 10:09:29,356 | INFO | __main__:analyze_market:143 | Analyzing market conditions...
2025-08-15 10:09:29,839 | WARNING | __main__:analyze_market:161 | Price prediction failed: 'LivePricePredictor' object has no attribute 'predict_next_movement'
2025-08-15 10:09:29,839 | WARNING | __main__:analyze_market:170 | Anomaly detection failed: 'LiveAnomalyDetector' object has no attribute 'find_mispriced_options'
2025-08-15 10:09:29,839 | INFO | __main__:analyze_market:194 | Market analysis complete: IV=0.20%, Price Direction=HOLD, Anomalies Found=0
